pushup_pose,pose_world_landmarks
0,"[ 0.26686165 -0.10025887 -0.67899764  1.          0.29132813 -0.1358538
 -0.66972315  0.99999964  0.27966589 -0.12781264 -0.6562624   0.99999976
  0.285703   -0.12601504 -0.65732276  0.99999952  0.26774296 -0.14612862
 -0.69069338  0.99999988  0.26244649 -0.14627481 -0.7103014   1.
  0.25251797 -0.13706923 -0.68938404  0.99999988  0.35110715 -0.13533384
 -0.54758638  0.99999976  0.13378467 -0.18621984 -0.5815509   1.
  0.28864402 -0.07133814 -0.61241621  0.99999833  0.21436028 -0.0784169
 -0.64985526  0.99999845  0.37684137 -0.07899267 -0.35177401  0.99999833
  0.06156362 -0.15984233 -0.37196276  0.99999571  0.49937555 -0.0566873
 -0.41141123  0.85708576 -0.25156271  0.04592465 -0.46640626  0.99222505
  0.55635476 -0.05654107 -0.40486711  0.8594113  -0.50294763  0.12740175
 -0.42301407  0.25254357  0.6060195  -0.10026321 -0.41715685  0.90376943
 -0.53373975  0.14135382 -0.45366728  0.2002856   0.58350986 -0.12183788
 -0.41623297  0.9107511  -0.49818927  0.15905967 -0.48177972  0.20625871
  0.54593611 -0.04243343 -0.40925956  0.86983871 -0.50829828  0.13018599
 -0.44275698  0.19012107  0.05553716  0.05415221  0.06220469  0.99998915
 -0.05642138 -0.05759167 -0.06324013  0.99999177 -0.35989031  0.0513258
  0.30418009  0.84699517 -0.30374658 -0.04845113  0.21071383  0.95409691
 -0.60339254  0.02373284  0.61810231  0.75474185 -0.71683967 -0.09138519
  0.43527752  0.94225752 -0.62957358  0.00627777  0.66090566  0.43819925
 -0.75000721 -0.08668303  0.41532779  0.72643024 -0.63177919  0.04526758
  0.71210867  0.89798909 -0.7780081  -0.08843434  0.43630472  0.95506448]"
0,"[-0.54288065  0.31305885 -0.40897152  0.99817324 -0.54946637  0.27116472
 -0.43637815  0.99822742 -0.54766458  0.27088958 -0.42407155  0.9979437
 -0.54951495  0.27248567 -0.42494586  0.9985612  -0.57722318  0.27092949
 -0.41982687  0.99780864 -0.57653058  0.26624417 -0.43471536  0.99758077
 -0.56432569  0.25652236 -0.41075963  0.99850535 -0.49276105  0.13939293
 -0.46599171  0.99912542 -0.51223916  0.16268203 -0.33409965  0.99832708
 -0.51311916  0.26293147 -0.40395561  0.99856538 -0.50429136  0.25847536
 -0.39612901  0.99792337 -0.27068073  0.06436165 -0.35228035  0.99934655
 -0.58183873  0.06103414 -0.09613327  0.999111   -0.07998747  0.06639045
 -0.38207561  0.97461194 -0.51530206  0.07986319  0.07541761  0.0187593
 -0.05034454  0.25821814 -0.31358469  0.96760535 -0.51837766  0.26741964
  0.18120182  0.3208206  -0.06096507  0.3295927  -0.31946769  0.94830799
 -0.56392491  0.27886561  0.16544974  0.38273269 -0.10200887  0.33428174
 -0.31863627  0.94729042 -0.58208156  0.28765744  0.15195318  0.3810218
 -0.05606981  0.26416042 -0.31310636  0.88137943 -0.52598429  0.28830647
  0.17020549  0.33021566  0.06027904  0.00227141 -0.0631314   0.9995591
 -0.06691572 -0.00289808  0.06060984  0.99947041  0.45733488 -0.12703612
  0.03552498  0.71251214  0.29381406 -0.0272199   0.23078167  0.0556534
  0.71547461 -0.3734636   0.18779756  0.90259451  0.67696577 -0.0141957
  0.43624201  0.21929359  0.75054526 -0.36907411  0.2014807   0.77502537
  0.7133472   0.00600143  0.4214561   0.28896353  0.80117458 -0.25026676
  0.16858523  0.85259491  0.69491643  0.17396121  0.40914741  0.38504985]"
0,"[ 0.05768908 -0.03176967 -0.74085134  0.99994922  0.07042444 -0.0391206
 -0.77025962  0.99981505  0.06677447 -0.03619619 -0.75647032  0.99970418
  0.06992072 -0.03688161 -0.7605589   0.99982268  0.04309085 -0.04949533
 -0.78505903  0.99989617  0.04716996 -0.04727365 -0.80697215  0.99986589
  0.05276303 -0.02952949 -0.78700298  0.99991035  0.10100597 -0.10823666
 -0.70271069  0.99991393 -0.04023176 -0.02615398 -0.74663705  0.99989855
  0.08142278 -0.06161318 -0.68922865  0.99993742  0.04614594 -0.02594145
 -0.72920579  0.99992895  0.18638942 -0.17417711 -0.50711036  0.99999678
 -0.14573027 -0.20536783 -0.49225238  0.9999913   0.41295913 -0.10302778
 -0.4700999   0.99924743 -0.37643743 -0.06966531 -0.52484673  0.99880087
  0.41543996  0.15307392 -0.42570812  0.99031258 -0.46211812  0.14999232
 -0.5555926   0.98520052  0.41230911  0.16945301 -0.4368293   0.96200514
 -0.47137293  0.15811145 -0.59434032  0.95566678  0.34771776  0.19961667
 -0.45864493  0.97250146 -0.40858629  0.15327814 -0.59785223  0.96218657
  0.40267262  0.19486719 -0.43043888  0.96373993 -0.44536668  0.16020429
 -0.56613731  0.94545507  0.09087528 -0.00683906  0.04400931  0.99991786
 -0.09361541  0.00859249 -0.05097935  0.99993479  0.16365105  0.14540139
  0.36276525  0.74529999 -0.04752848  0.08984032  0.32153687  0.76165366
  0.17412095  0.19049826  0.7698428   0.31193382 -0.09311762  0.19362159
  0.77140105  0.27949783  0.15852548  0.19763049  0.81965178  0.0380343
 -0.09923483  0.20168485  0.7780658   0.03027619  0.17277609  0.26363283
  0.82846314  0.56138122 -0.09346123  0.23817539  0.74998283  0.5861873 ]"
0,"[ 0.70382702 -0.11872486 -0.10263792  0.99982053  0.70439917 -0.15941361
 -0.09373009  0.99961793  0.70596319 -0.15834066 -0.08259909  0.99967349
  0.70491529 -0.15863308 -0.08618777  0.99974424  0.71049041 -0.1614272
 -0.14076114  0.9997887   0.70954037 -0.15745047 -0.15426828  0.99987817
  0.70280921 -0.15109929 -0.13129975  0.99987674  0.63782603 -0.21122028
 -0.0129402   0.99985158  0.551669   -0.21581355 -0.16830155  0.9996655
  0.68737954 -0.10881792 -0.05918413  0.99948221  0.64076984 -0.10136658
 -0.13082847  0.99953687  0.48129132 -0.16831678  0.15023571  0.99992132
  0.52256984 -0.20305271 -0.13102627  0.99997795  0.371445   -0.13938749
  0.29568624  0.27410686  0.30201405 -0.16710594 -0.28900424  0.99051124
  0.43968356  0.05255583  0.44692105  0.04357818  0.37315261 -0.02369925
 -0.42789215  0.99793386  0.47095135  0.04200128  0.47536471  0.10690743
  0.43685511 -0.00508109 -0.4905971   0.99864048  0.49234009  0.0306073
  0.45738691  0.12916645  0.48852038  0.00546846 -0.45398489  0.99860638
  0.44467777  0.07074252  0.44210094  0.12757726  0.40086064 -0.0172189
 -0.42395845  0.99747294  0.00538361  0.00490514  0.13875914  0.99983323
  0.00226232 -0.00567133 -0.13712336  0.99989533 -0.34213907  0.21701506
  0.10487855  0.03962833 -0.27976978  0.18615195 -0.10009171  0.83283812
 -0.67059892  0.4081018   0.15822276  0.21538036 -0.66113257  0.30436718
 -0.05517531  0.91049647 -0.7100746   0.41158971  0.16991647  0.56955779
 -0.69244254  0.31863713 -0.09111021  0.90031213 -0.63880754  0.49752772
  0.14853203  0.56761289 -0.62299997  0.40755627 -0.12107769  0.90510011]"
1,"[ 0.53012562 -0.02545248 -0.51453775  0.99999154  0.53756857 -0.0649945
 -0.51617688  0.99997914  0.53529525 -0.06542279 -0.50341421  0.99998796
  0.53374916 -0.06585625 -0.50641072  0.99998987  0.53403634 -0.06469356
 -0.55506718  0.99998808  0.53259748 -0.06357576 -0.56941962  0.99999475
  0.5228318  -0.05547412 -0.54381782  0.9999913   0.48071545 -0.11719058
 -0.41500342  0.9999944   0.37542456 -0.12544665 -0.55511624  0.99998248
  0.50924492 -0.01991919 -0.45803729  0.99998319  0.46461138 -0.017818
 -0.52669138  0.99997818  0.44372621 -0.0792716  -0.23179129  0.99999702
  0.31508139 -0.08608875 -0.40831426  0.99998653  0.50196797  0.14142671
 -0.13123694  0.97198242  0.25024885  0.17596605 -0.46860501  0.99990678
  0.48677537  0.39032784 -0.05950987  0.99332726  0.25467932  0.36803105
 -0.50601518  0.99995959  0.56074303  0.38467997 -0.04498221  0.99248236
  0.29852206  0.39361531 -0.61246836  0.99993181  0.53211761  0.38631311
 -0.0990699   0.99415898  0.37480792  0.38439795 -0.58399332  0.99993515
  0.46939567  0.41812047 -0.07682386  0.99303365  0.28891385  0.37269941
 -0.51202387  0.99982977  0.05750759  0.01136201  0.10837239  0.9999795
 -0.04949632 -0.01302255 -0.10540456  0.99998486 -0.31798869  0.16680661
  0.26228717  0.47441381 -0.32325721  0.14531285  0.08609209  0.99311936
 -0.58801126  0.26873156  0.52215856  0.82641816 -0.66775399  0.21498954
  0.31245065  0.99808002 -0.61515582  0.26795048  0.55828959  0.86961472
 -0.69477755  0.23111033  0.30135462  0.99284679 -0.56538993  0.35455215
  0.5441128   0.9718231  -0.64271814  0.30868042  0.24044551  0.99764854]"
1,"[-0.00701107 -0.12129833 -0.82714635  0.9999758   0.00712265 -0.14765941
 -0.83127147  0.99996972  0.00447162 -0.14365472 -0.81904441  0.99995136
  0.00575838 -0.14455818 -0.82123041  0.99996388 -0.017375   -0.15707713
 -0.83460927  0.99998379 -0.01617155 -0.15498939 -0.8515504   0.99998426
 -0.01325106 -0.14024897 -0.8267622   0.99998939  0.08931622 -0.15509821
 -0.71852416  0.99996412 -0.07556622 -0.10957678 -0.69353873  0.99997628
  0.03443859 -0.11080682 -0.77165788  0.99994802 -0.00661205 -0.08445126
 -0.78695852  0.99996245  0.2041782  -0.11366437 -0.51691955  0.99998188
 -0.14252663 -0.1398918  -0.45404384  0.99998486  0.30469421  0.05341683
 -0.46574154  0.95833039 -0.250034    0.108179   -0.44270718  0.98029745
  0.33547512  0.30662695 -0.42294642  0.98107302 -0.32075343  0.28889245
 -0.51239729  0.99650049  0.34884503  0.30727583 -0.42871979  0.96342933
 -0.33052155  0.29058051 -0.58544743  0.98944187  0.29752296  0.33287728
 -0.45363182  0.97454494 -0.27657694  0.25699881 -0.60193717  0.99281865
  0.32196569  0.34242257 -0.42946371  0.96561563 -0.30392349  0.28694963
 -0.53478301  0.98614591  0.09864349 -0.00594165  0.02680851  0.99984241
 -0.09827809  0.00318541 -0.02647543  0.99991     0.12085173  0.27528882
  0.29343563  0.0044885  -0.09565969  0.19858052  0.28222612  0.00950053
  0.12441599  0.24074873  0.6989454   0.00234401 -0.13394637  0.20525974
  0.69692713  0.00508523  0.11001543  0.23837978  0.75263035  0.00399114
 -0.13644467  0.20013389  0.70634383  0.00729743  0.10531972  0.30877882
  0.76723731  0.00761985 -0.12366104  0.24535376  0.69289219  0.01151587]"
1,"[-0.63988799  0.03547558 -0.27781224  0.99998355 -0.64009213 -0.01052305
 -0.31615272  0.99994469 -0.6389184  -0.00945476 -0.30251718  0.99995959
 -0.64010572 -0.0095572  -0.30460078  0.99994767 -0.66216469 -0.01713708
 -0.29585508  0.99997282 -0.65981251 -0.02103344 -0.31106788  0.99998558
 -0.64696479 -0.02450159 -0.28826588  0.99998665 -0.55283904 -0.11609662
 -0.37048441  0.99997258 -0.55933261 -0.10375448 -0.21619076  0.99998987
 -0.59929854 -0.00461006 -0.28058025  0.99994683 -0.57964993 -0.00447175
 -0.26630443  0.99996817 -0.37058046 -0.0689512  -0.31233662  0.99996483
 -0.53644019 -0.14583296  0.02673512  0.99997497 -0.3688007   0.18370703
 -0.33968902  0.99045497 -0.50008535  0.10253894  0.05024516  0.14850608
 -0.37209865  0.38924611 -0.26152217  0.99852955 -0.53774792  0.342226
 -0.00450001  0.97331423 -0.41025412  0.43246841 -0.27209157  0.99909759
 -0.59429502  0.33991808 -0.04433233  0.98907286 -0.43425125  0.41833824
 -0.25111285  0.99915338 -0.59551394  0.31292844 -0.07184255  0.99003172
 -0.37292728  0.3891471  -0.25445569  0.99797863 -0.54830569  0.34985003
 -0.02497883  0.98713613  0.02266938  0.0089254  -0.06929924  0.99979049
 -0.02805855 -0.01270893  0.06847501  0.99973708  0.43903252  0.11391635
 -0.03765689  0.72707176  0.34223914  0.03834683  0.10467418  0.01133198
  0.80709535  0.16179119  0.0460692   0.94269097  0.75187427  0.1608804
  0.24316444  0.06511766  0.83565116  0.19332048  0.05613693  0.96442777
  0.78129709  0.17914459  0.21445     0.18661761  0.75723898  0.29203337
  0.03358406  0.97522962  0.68117046  0.27334166  0.18253157  0.37674311]"
0,"[-0.57299125  0.34037158 -0.35945523  0.99992585 -0.57354569  0.29773515
 -0.39797741  0.99993658 -0.57133776  0.29635796 -0.38435307  0.99989259
 -0.57404226  0.2983785  -0.38575119  0.99993098 -0.60713112  0.28715551
 -0.37952638  0.99995768 -0.60527354  0.28325993 -0.39395204  0.9999516
 -0.59382021  0.27457407 -0.37047738  0.99997365 -0.47208184  0.17646511
 -0.4508273   0.99992967 -0.51642895  0.15882492 -0.31665239  0.99994922
 -0.5323506   0.29779381 -0.36165041  0.99990928 -0.52534461  0.28408873
 -0.35290134  0.99991441 -0.24441646  0.13688204 -0.32512555  0.9997614
 -0.56938195 -0.02692138 -0.11406264  0.99985111 -0.04981128  0.09182981
 -0.29730567  0.96753246 -0.4841609  -0.17057708  0.02512298  0.03599439
 -0.10580644  0.26998174 -0.15060842  0.52180195 -0.49029878  0.05094525
  0.13703731  0.00532573 -0.15205112  0.3353588  -0.13441031  0.40782559
 -0.54296231  0.06262665  0.12896761  0.00782746 -0.1901868   0.31621897
 -0.13135301  0.39135396 -0.54824185  0.07512922  0.12246675  0.00726855
 -0.11786874  0.26419604 -0.14392222  0.25435776 -0.49361932  0.07546029
  0.13110515  0.0067871   0.06473016  0.05066279 -0.05191246  0.99980539
 -0.07038649 -0.0530431   0.05064929  0.99974531  0.47058439 -0.02126182
  0.07679608  0.58983493  0.22797249 -0.14181261  0.22196174  0.00804516
  0.75315756 -0.12797338  0.26583263  0.77208245  0.59225404 -0.20770064
  0.44653299  0.04731622  0.78017527 -0.10921425  0.28915948  0.80075586
  0.62406647 -0.19963241  0.43217933  0.13732769  0.74876356  0.01090021
  0.30808225  0.61706918  0.54446054 -0.07023057  0.45547202  0.07070506]"
0,"[ 0.63493866  0.19908056 -0.0960812   0.99999106  0.66076237  0.16659588
 -0.09536067  0.99997008  0.66201788  0.16838352 -0.08366334  0.99998045
  0.66130656  0.16902703 -0.08629274  0.99997842  0.6671645   0.17148857
 -0.14177679  0.99998879  0.66486382  0.17358953 -0.15628508  0.99999583
  0.65603071  0.17575532 -0.13314779  0.99999464  0.64167112  0.07636427
 -0.01589687  0.99999499  0.5676055   0.04773168 -0.17912185  0.99999559
  0.61966324  0.19193363 -0.05613514  0.99998581  0.57521313  0.18001251
 -0.1285612   0.99999177  0.4657827   0.03287704  0.15737264  0.99999285
  0.51918823  0.0216678  -0.10581473  0.99999797  0.35160965  0.02928888
  0.2975086   0.52903676  0.27762029  0.01252769 -0.27762321  0.99878985
  0.35638914  0.20222066  0.44710824  0.4946084   0.30216226  0.18632019
 -0.41804117  0.99996364  0.42046872  0.20208919  0.4800708   0.75692189
  0.37909383  0.23608768 -0.49169528  0.9999783   0.45401716  0.19688414
  0.47047472  0.79817677  0.42516908  0.25755572 -0.44604829  0.99997652
  0.36172643  0.22178358  0.44533661  0.78158236  0.32907739  0.2003742
 -0.4115991   0.99994802  0.005166    0.00933555  0.13092414  0.9998312
  0.00346512 -0.00721361 -0.12986107  0.99993873 -0.426456    0.01847288
  0.09757578  0.3594847  -0.37009504  0.04080123 -0.13102208  0.99403679
 -0.77661788  0.10013348  0.18952718  0.73672807 -0.77072847  0.0461951
 -0.04364358  0.99579763 -0.80887127  0.08943941  0.20702361  0.90720743
 -0.80409288  0.05405597 -0.07556466  0.99378806 -0.77339256  0.17011952
  0.17721637  0.93574172 -0.73636967  0.16355744 -0.12855989  0.99413282]"
0,"[-6.61633492e-01  1.07519031e-01 -1.92699313e-01  9.99456942e-01
 -6.67494774e-01  6.46794885e-02 -2.22299993e-01  9.99507546e-01
 -6.67779267e-01  6.48817271e-02 -2.08229348e-01  9.99524832e-01
 -6.68986619e-01  6.72437996e-02 -2.09109172e-01  9.99624014e-01
 -6.90252185e-01  6.58747852e-02 -2.00484395e-01  9.99618649e-01
 -6.87629282e-01  6.48779497e-02 -2.13226840e-01  9.99687314e-01
 -6.77385092e-01  6.14179932e-02 -1.91784367e-01  9.99709666e-01
 -6.11871302e-01 -4.78437170e-02 -2.37382978e-01  9.99851823e-01
 -6.09160662e-01 -1.45704541e-02 -9.42846984e-02  9.99273479e-01
 -6.33019209e-01  6.07442297e-02 -1.85708031e-01  9.99398112e-01
 -6.10230565e-01  6.95690736e-02 -1.71828955e-01  9.99113977e-01
 -4.42490548e-01 -6.46382868e-02 -2.04115897e-01  9.99922514e-01
 -5.27084291e-01 -3.59941423e-02  1.51641577e-01  9.98887837e-01
 -2.96439916e-01 -3.41364741e-02 -1.77544162e-01  9.70584989e-01
 -2.61557549e-01 -1.40164997e-02  7.29179233e-02  8.92861804e-04
 -4.00407791e-01  1.01821601e-01  3.41673270e-02  8.89819920e-01
 -3.59971911e-01  1.39719516e-01 -1.28871873e-01  1.91713031e-02
 -4.47061807e-01  1.49452060e-01  5.65245114e-02  8.62033188e-01
 -4.10801888e-01  1.46195397e-01 -1.79714113e-01  6.84267506e-02
 -4.73805666e-01  1.42740324e-01  6.47411048e-02  8.56676936e-01
 -4.54288125e-01  1.42283887e-01 -1.76984325e-01  7.34163597e-02
 -4.05168474e-01  9.44509432e-02  4.37655486e-02  7.68954933e-01
 -3.85587662e-01  1.46936968e-01 -1.40445948e-01  6.76860884e-02
  3.88907455e-03 -1.18735060e-02 -7.50346109e-02  9.98369873e-01
 -9.47214011e-03  9.59983375e-03  7.75872096e-02  9.97117162e-01
  4.16730821e-01  1.81160159e-02 -5.63653298e-02  4.71425951e-01
  3.30652893e-01 -1.47999413e-02  1.00270152e-01  1.49556184e-02
  7.87972808e-01  2.74286908e-03  5.14653251e-02  6.53209150e-01
  7.62031376e-01  2.03201789e-02  2.22815171e-01  1.30215451e-01
  8.23382914e-01  3.16154324e-02  6.77872226e-02  4.95723605e-01
  7.96703458e-01  3.00643835e-02  1.92910224e-01  2.88727164e-01
  8.08444381e-01  1.60820201e-01  1.94578301e-02  6.55648708e-01
  7.61678457e-01  1.45674482e-01  1.52029812e-01  2.62652427e-01]"
